subject,session,block,trial,task,CT_fixed,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
12,2,1,1,2,1,2,4,1,4,2,1.16986997002,0,nan,0
12,2,1,2,2,1,1,4,1,4,2,1.20986552455,0,nan,0
12,2,1,3,2,0,2,3,1,3,2,1.29985552225,0,nan,0
12,2,1,4,2,1,2,1,1,1,1,1.02988552917,0,nan,0
12,2,1,5,2,1,1,6,1,6,1,1.26985885635,0,nan,0
12,2,1,6,2,1,1,5,1,5,2,1.32985218815,0,nan,0
12,2,1,7,2,1,1,1,0,3,1,1.39984440857,0,nan,0
12,2,1,8,2,1,1,5,1,5,2,1.38984551994,0,nan,0
12,2,1,9,2,1,2,3,1,3,2,1.26985885635,0,nan,0
12,2,1,10,2,1,1,8,1,8,1,1.04988330643,0,nan,0
12,2,1,11,2,1,1,8,1,8,1,1.01988664053,0,nan,0
12,2,1,12,2,1,1,5,1,5,1,1.04988330643,0,nan,0
12,2,1,13,2,1,1,8,0,2,2,1.14987219276,0,nan,0
12,2,1,14,2,1,2,6,1,6,1,1.10987663823,0,nan,0
12,2,1,15,2,1,2,1,1,1,1,1.16986997002,0,nan,0
12,2,1,16,2,1,1,8,1,8,1,1.35984885404,0,nan,0
12,2,1,17,2,1,2,6,1,6,2,1.37984663131,0,nan,0
12,2,1,18,2,1,1,8,0,6,1,1.0098877519,0,nan,0
12,2,1,19,2,1,1,7,1,7,1,1.18986774729,0,nan,0
12,2,1,20,2,1,1,5,1,5,1,1.38984551994,0,nan,0
12,2,1,21,2,1,1,8,1,8,1,1.29985552225,0,nan,0
12,2,1,22,2,1,1,5,0,4,1,1.13987330412,0,nan,0
12,2,1,23,2,1,2,5,1,5,1,1.14987219276,0,nan,0
12,2,1,24,2,1,2,2,0,6,1,1.0698810837,0,nan,0
12,2,1,25,2,1,1,6,1,6,1,1.20986552455,0,nan,0
12,2,1,26,2,1,1,4,1,4,1,1.33985107678,0,nan,0
12,2,1,27,2,1,1,5,1,5,2,1.13987330412,0,nan,0
12,2,1,28,2,1,2,6,1,6,1,1.32985218815,0,nan,0
12,2,1,29,2,1,1,8,1,8,2,1.14987219276,0,nan,0
12,2,1,30,2,1,1,1,1,1,2,1.13987330412,0,nan,0
12,2,1,31,2,1,1,6,0,5,2,1.23986219045,0,nan,0
12,2,1,32,2,1,2,8,1,8,2,1.21986441319,0,nan,0
12,2,1,33,2,1,2,4,1,4,2,1.18986774729,0,nan,0
12,2,1,34,2,0,1,8,1,8,1,1.16986997002,0,nan,0
12,2,1,35,2,1,2,2,1,2,2,1.20986552455,0,nan,0
12,2,1,36,2,1,2,7,1,7,2,1.22986330182,0,nan,0
12,2,1,37,2,1,2,5,1,5,1,1.05988219506,0,nan,0
12,2,1,38,2,1,1,4,1,4,2,1.05988219506,0,nan,0
12,2,1,39,2,1,2,1,1,1,2,1.22986330182,0,nan,0
12,2,1,40,2,1,1,7,1,7,2,1.25985996772,0,nan,0
12,2,1,41,2,1,2,2,1,2,1,0.999888863267,0,nan,0
12,2,1,42,2,1,1,6,0,7,2,1.16986997002,0,nan,0
12,2,1,43,2,1,1,5,0,4,1,1.38984551994,0,nan,0
12,2,1,44,2,1,2,4,0,5,1,1.11987552686,0,nan,0
12,2,1,45,2,1,1,8,1,8,1,1.23986219045,0,nan,0
12,2,1,46,2,1,1,1,1,1,1,1.12987441549,0,nan,0
12,2,1,47,2,1,1,4,1,4,1,1.30985441088,0,nan,0
12,2,1,48,2,1,2,7,1,7,2,1.24986107908,0,nan,0
12,2,1,49,2,1,2,4,1,4,2,1.17986885866,0,nan,0
12,2,1,50,2,1,1,2,1,2,1,1.39984440857,0,nan,0
12,2,1,51,2,1,2,4,1,4,2,1.29985552225,0,nan,0
12,2,1,52,2,1,1,2,0,7,2,1.39984440857,0,nan,0
12,2,1,53,2,1,2,3,1,3,1,1.38984551994,0,nan,0
12,2,1,54,2,1,1,5,1,5,2,1.32985218815,0,nan,0
12,2,1,55,2,1,2,3,0,4,2,1.01988664053,0,nan,0
12,2,1,56,2,1,2,3,1,3,1,1.05988219506,0,nan,0
12,2,1,57,2,1,1,6,1,6,1,1.09987774959,0,nan,0
12,2,1,58,2,0,2,2,1,2,1,1.11987552686,0,nan,0
12,2,1,59,2,1,2,6,1,6,2,1.11987552686,0,nan,0
12,2,1,60,2,1,1,2,1,2,1,1.36984774268,0,nan,0
12,2,1,61,2,1,2,2,1,2,1,1.21986441319,0,nan,0
12,2,1,62,2,1,2,3,0,8,1,1.17986885866,0,nan,0
12,2,1,63,2,1,2,3,1,3,2,1.32985218815,0,nan,0
12,2,1,64,2,1,2,7,0,4,2,1.10987663823,0,nan,0
12,2,1,65,2,0,1,3,1,3,2,1.02988552917,0,nan,0
12,2,1,66,2,0,1,7,1,7,1,1.16986997002,0,nan,0
12,2,1,67,2,0,1,7,1,7,2,1.25985996772,0,nan,0
12,2,1,68,2,0,2,2,1,2,2,1.37984663131,0,nan,0
12,2,1,69,2,0,2,4,0,1,2,1.37984663131,0,nan,0
12,2,1,70,2,1,1,3,1,3,2,1.31985329951,0,nan,0
12,2,1,71,2,1,2,6,1,6,1,1.07987997233,0,nan,0
12,2,1,72,2,1,1,1,1,1,2,1.38984551994,0,nan,0
12,2,1,73,2,0,1,1,1,1,2,1.02988552917,0,nan,0
12,2,1,74,2,0,2,7,1,7,2,1.22986330182,0,nan,0
12,2,1,75,2,0,2,1,0,7,2,1.27985774498,0,nan,0
12,2,1,76,2,0,2,2,1,2,1,1.17986885866,0,nan,0
12,2,1,77,2,1,2,1,1,1,1,1.29985552225,0,nan,0
12,2,1,78,2,1,2,7,1,7,2,1.04988330643,0,nan,0
12,2,1,79,2,0,2,7,0,4,1,1.09987774959,0,nan,0
12,2,1,80,2,1,2,3,1,3,2,1.28985663361,0,nan,0
12,2,2,81,1,1,1,6,0,3,2,1.25985996772,2,0.721861439524,1
12,2,2,82,1,1,1,5,1,5,2,1.26985885635,2,1.0229084692,1
12,2,2,83,1,1,2,1,1,1,1,1.33985107678,2,0.997835303657,0
12,2,2,84,1,1,1,5,0,3,2,1.35984885404,2,1.01076914486,1
12,2,2,85,1,1,1,1,1,1,1,1.27985774498,1,0.690205738414,1
12,2,2,86,1,1,2,5,1,5,2,1.20986552455,2,0.681214898592,1
12,2,2,87,1,1,2,4,1,4,2,1.15987108139,2,0.741174055729,1
12,2,2,88,1,1,2,5,1,5,1,1.38984551994,1,0.788279065164,1
12,2,2,89,1,1,2,1,0,7,1,1.09987774959,2,0.975472612306,0
12,2,2,90,1,1,2,6,1,6,1,1.26985885635,1,0.786324468907,1
12,2,2,91,1,1,1,5,1,5,1,1.30985441088,2,0.656579441857,0
12,2,2,92,1,1,2,7,1,7,2,1.39984440857,2,0.812867430039,1
12,2,2,93,1,1,1,7,0,3,1,1.01988664053,2,1.09592613904,0
12,2,2,94,1,0,1,6,1,6,2,1.19986663592,2,0.829426103504,1
12,2,2,95,1,1,1,8,1,8,2,1.28985663361,2,0.823063629214,1
12,2,2,96,1,1,1,5,1,5,1,1.34984996541,2,1.09396369429,0
12,2,2,97,1,1,2,2,1,2,1,1.09987774959,1,0.790713329334,1
12,2,2,98,1,1,2,3,1,3,1,1.25985996772,1,1.06120587257,1
12,2,2,99,1,0,2,7,1,7,1,1.35984885404,1,0.849346078001,1
12,2,2,100,1,1,1,4,0,5,1,1.27985774498,1,0.918643525336,1
12,2,2,101,1,0,1,2,1,2,2,1.32985218815,2,1.18798927171,1
12,2,2,102,1,1,2,3,1,3,1,1.17986885866,1,0.7848745964,1
12,2,2,103,1,0,1,2,1,2,1,1.0398844178,1,1.07324165595,1
12,2,2,104,1,1,1,4,1,4,2,1.35984885404,1,1.06186394487,0
12,2,2,105,1,1,1,8,1,8,2,1.26985885635,2,0.969146966003,1
12,2,2,106,1,1,2,7,1,7,1,1.12987441549,1,0.869884882588,1
12,2,2,107,1,1,1,3,0,4,1,1.25985996772,2,0.996644736035,0
12,2,2,108,1,1,1,3,1,3,1,1.14987219276,1,1.23239256139,1
12,2,2,109,1,1,1,3,1,3,2,1.32985218815,2,0.749543651007,1
12,2,2,110,1,1,1,7,0,4,1,1.37984663131,1,1.27288364037,1
12,2,2,111,1,1,1,1,1,1,2,1.35984885404,2,0.800015697023,1
12,2,2,112,1,1,2,7,1,7,1,1.04988330643,1,0.733537094202,1
12,2,2,113,1,1,1,5,1,5,1,1.19986663592,1,0.866142019862,1
12,2,2,114,1,1,1,7,1,7,1,1.39984440857,1,0.813038287451,1
12,2,2,115,1,1,1,2,1,2,1,1.32985218815,1,1.13088910724,1
12,2,2,116,1,1,1,8,1,8,2,1.17986885866,1,1.12575463252,0
12,2,2,117,1,1,2,6,1,6,2,1.12987441549,2,0.711450913921,1
12,2,2,118,1,1,2,2,1,2,1,1.29985552225,1,0.976196492091,1
12,2,2,119,1,1,2,5,1,5,2,1.27985774498,1,1.03997669579,0
12,2,2,120,1,1,2,3,1,3,2,1.32985218815,2,1.15105782147,1
12,2,2,121,1,1,1,8,1,8,1,0.999888863267,1,0.707328603137,1
