subject,session,block,trial,task,CT_fixed,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
7,1,1,1,2,1,1,2,0,5,1,1.34986783679,0,nan,0
7,1,1,2,2,1,2,1,1,1,1,1.01990014335,0,nan,0
7,1,1,3,2,1,2,8,1,8,1,1.15988643754,0,nan,0
7,1,1,4,2,1,2,4,1,4,1,1.01990014335,0,nan,0
7,1,1,5,2,1,1,6,0,4,2,1.15988643754,0,nan,0
7,1,1,6,2,1,2,2,1,2,2,1.21988056362,0,nan,0
7,1,1,7,2,1,1,2,0,6,1,1.26987566868,0,nan,0
7,1,1,8,2,1,2,7,1,7,2,1.22987958463,0,nan,0
7,1,1,9,2,1,1,4,1,4,2,1.28987371071,0,nan,0
7,1,1,10,2,1,1,8,1,8,1,1.16988545855,0,nan,0
7,1,1,11,2,1,2,5,1,5,2,1.36986587882,0,nan,0
7,1,1,12,2,1,1,3,1,3,1,1.33986881578,0,nan,0
7,1,1,13,2,1,2,4,1,4,1,1.34986783679,0,nan,0
7,1,1,14,2,1,2,3,1,3,2,1.31987077375,0,nan,0
7,1,1,15,2,1,2,7,1,7,2,1.21988056362,0,nan,0
7,1,1,16,2,1,2,2,1,2,1,1.39986294186,0,nan,0
7,1,1,17,2,1,1,7,1,7,2,1.39986294186,0,nan,0
7,1,1,18,2,1,1,1,1,1,2,1.38986392084,0,nan,0
7,1,1,19,2,1,2,4,0,6,2,1.06989524842,0,nan,0
7,1,1,20,2,1,1,5,1,5,2,1.31987077375,0,nan,0
7,1,1,21,2,1,2,5,1,5,1,1.3598668578,0,nan,0
7,1,1,22,2,1,1,7,0,8,1,1.32986979476,0,nan,0
7,1,1,23,2,1,2,2,1,2,1,1.38986392084,0,nan,0
7,1,1,24,2,1,2,4,0,2,2,1.04989720639,0,nan,0
7,1,1,25,2,1,2,7,0,3,1,1.13988839551,0,nan,0
7,1,1,26,2,1,2,4,1,4,1,1.14988741652,0,nan,0
7,1,1,27,2,1,1,1,0,5,2,1.32986979476,0,nan,0
7,1,1,28,2,1,1,1,1,1,2,1.38986392084,0,nan,0
7,1,1,29,2,1,1,6,1,6,2,1.30987175274,0,nan,0
7,1,1,30,2,1,1,8,1,8,1,1.04989720639,0,nan,0
7,1,1,31,2,1,1,3,1,3,1,1.10989133247,0,nan,0
7,1,1,32,2,1,1,3,1,3,2,1.00990112234,0,nan,0
7,1,1,33,2,1,1,6,1,6,1,1.2798746897,0,nan,0
7,1,1,34,2,1,2,4,1,4,2,1.30987175274,0,nan,0
7,1,1,35,2,1,2,2,1,2,2,1.11989035348,0,nan,0
7,1,1,36,2,1,1,6,1,6,2,1.0598962274,0,nan,0
7,1,1,37,2,1,1,1,0,2,2,1.30987175274,0,nan,0
7,1,1,38,2,1,2,8,1,8,1,1.2098815426,0,nan,0
7,1,1,39,2,1,2,8,1,8,2,1.01990014335,0,nan,0
7,1,1,40,2,1,1,3,1,3,1,1.17988447956,0,nan,0
7,1,1,41,2,1,2,5,1,5,2,1.18988350058,0,nan,0
7,1,1,42,2,1,1,5,0,4,2,1.33986881578,0,nan,0
7,1,1,43,2,1,1,3,1,3,1,1.15988643754,0,nan,0
7,1,1,44,2,1,1,5,0,8,1,1.29987273172,0,nan,0
7,1,1,45,2,1,2,6,1,6,1,1.26987566868,0,nan,0
7,1,1,46,2,1,1,1,1,1,2,1.33986881578,0,nan,0
7,1,1,47,2,1,2,1,1,1,2,1.2798746897,0,nan,0
7,1,1,48,2,1,1,6,0,1,2,1.24987762666,0,nan,0
7,1,1,49,2,1,2,1,1,1,2,1.32986979476,0,nan,0
7,1,1,50,2,1,2,5,1,5,1,1.00990112234,0,nan,0
7,1,1,51,2,1,1,6,1,6,1,1.21988056362,0,nan,0
7,1,1,52,2,1,2,2,1,2,1,1.04989720639,0,nan,0
7,1,1,53,2,0,2,7,1,7,1,1.02989916437,0,nan,0
7,1,1,54,2,1,1,5,1,5,1,1.25987664767,0,nan,0
7,1,1,55,2,1,2,2,1,2,2,1.06989524842,0,nan,0
7,1,1,56,2,1,2,4,1,4,2,1.06989524842,0,nan,0
7,1,1,57,2,1,2,1,1,1,1,1.15988643754,0,nan,0
7,1,1,58,2,1,1,3,0,5,1,1.28987371071,0,nan,0
7,1,1,59,2,1,2,3,1,3,2,1.24987762666,0,nan,0
7,1,1,60,2,0,1,8,0,3,1,1.18988350058,0,nan,0
7,1,1,61,2,1,1,7,1,7,2,1.18988350058,0,nan,0
7,1,1,62,2,1,2,8,1,8,2,1.18988350058,0,nan,0
7,1,1,63,2,1,1,3,0,5,1,1.24987762666,0,nan,0
7,1,1,64,2,1,1,6,1,6,1,1.15988643754,0,nan,0
7,1,1,65,2,1,1,7,1,7,1,1.36986587882,0,nan,0
7,1,1,66,2,1,2,1,1,1,2,1.2798746897,0,nan,0
7,1,1,67,2,1,2,4,1,4,2,1.1298893745,0,nan,0
7,1,1,68,2,1,2,8,1,8,1,1.38986392084,0,nan,0
7,1,1,69,2,1,2,8,0,5,2,1.34986783679,0,nan,0
7,1,1,70,2,1,2,7,1,7,2,1.33986881578,0,nan,0
7,1,1,71,2,1,2,4,1,4,2,1.11989035348,0,nan,0
7,1,1,72,2,1,2,5,1,5,1,1.37986489983,0,nan,0
7,1,1,73,2,1,2,5,1,5,1,1.11989035348,0,nan,0
7,1,1,74,2,1,1,6,1,6,2,1.16988545855,0,nan,0
7,1,1,75,2,1,1,2,1,2,1,1.10989133247,0,nan,0
7,1,1,76,2,1,1,8,1,8,2,1.31987077375,0,nan,0
7,1,1,77,2,1,2,3,1,3,2,1.17988447956,0,nan,0
7,1,1,78,2,1,1,7,1,7,1,1.07989426943,0,nan,0
7,1,1,79,2,1,2,6,1,6,1,1.15988643754,0,nan,0
7,1,1,80,2,1,2,2,1,2,1,1.28987371071,0,nan,0
7,1,2,81,1,1,2,5,1,5,2,1.32986979476,2,0.643801728734,1
7,1,2,82,1,1,2,6,1,6,1,1.34986783679,1,0.470717967201,1
7,1,2,83,1,1,2,8,1,8,1,1.0598962274,1,0.454366117932,1
7,1,2,84,1,1,2,1,1,1,2,1.02989916437,2,0.405350416608,1
7,1,2,85,1,1,1,6,1,6,2,1.23987860564,2,0.461561124806,1
7,1,2,86,1,1,1,5,1,5,2,1.24987762666,2,0.499961662855,1
7,1,2,87,1,1,2,2,0,7,2,1.31987077375,2,0.631526597225,1
7,1,2,88,1,1,1,3,0,5,1,1.33986881578,1,0.56731006661,1
7,1,2,89,1,1,2,4,0,2,2,1.28987371071,2,0.682011788522,1
7,1,2,90,1,1,2,3,1,3,2,1.34986783679,2,0.531182287393,1
7,1,2,91,1,1,2,8,1,8,1,1.02989916437,1,0.416925819736,1
7,1,2,92,1,1,1,4,1,4,1,1.23987860564,1,0.539811163898,1
7,1,2,93,1,1,2,3,1,3,1,1.2798746897,2,0.821356144841,0
7,1,2,94,1,1,1,3,1,3,1,1.32986979476,1,0.696377351019,1
7,1,2,95,1,1,2,5,1,5,1,1.08989329044,1,0.661956027596,1
7,1,2,96,1,1,1,7,1,7,2,1.32986979476,2,0.522812111157,1
7,1,2,97,1,1,2,3,1,3,2,1.11989035348,2,0.550745400901,1
7,1,2,98,1,1,2,6,1,6,2,1.02989916437,2,0.525612835881,1
7,1,2,99,1,1,2,8,0,1,2,1.00990112234,2,0.561208423063,1
7,1,2,100,1,1,2,7,1,7,2,1.1298893745,2,0.538234209171,1
7,1,2,101,1,1,2,1,1,1,2,1.24987762666,2,0.484112120756,1
7,1,2,102,1,1,2,7,1,7,2,1.09989231146,2,0.55670094068,1
7,1,2,103,1,1,1,6,1,6,1,1.3598668578,1,0.446417046567,1
7,1,2,104,1,1,2,8,1,8,1,1.2798746897,1,0.507287076397,1
7,1,2,105,1,1,2,1,1,1,2,1.24987762666,2,0.410973298631,1
7,1,2,106,1,1,2,5,1,5,2,1.29987273172,2,0.493910733013,1
7,1,2,107,1,1,2,8,1,8,2,1.08989329044,2,0.845340406688,1
7,1,2,108,1,1,1,1,1,1,1,1.01990014335,1,0.529000994351,1
7,1,2,109,1,1,1,3,1,3,2,1.10989133247,2,0.592218947968,1
7,1,2,110,1,1,2,3,0,6,2,1.13988839551,1,0.951732325821,0
7,1,2,111,1,1,2,1,1,1,1,1.00990112234,1,0.554905735901,1
7,1,2,112,1,1,2,8,0,7,2,1.2098815426,2,0.775823690183,1
7,1,2,113,1,1,1,2,0,7,1,1.3598668578,1,1.08758528506,1
7,1,2,114,1,1,1,1,0,5,1,1.16988545855,1,0.578847132593,1
7,1,2,115,1,1,2,4,1,4,2,1.1298893745,2,0.920086974003,1
7,1,2,116,1,1,2,2,1,2,1,1.38986392084,1,0.767775304478,1
7,1,2,117,1,1,1,7,1,7,2,1.24987762666,2,0.616627937094,1
7,1,2,118,1,1,2,7,1,7,1,1.08989329044,1,0.729436649224,1
7,1,2,119,1,1,2,7,1,7,1,1.39986294186,1,0.647231846758,1
7,1,2,120,1,1,1,5,1,5,2,1.36986587882,2,1.23134656357,1
7,1,2,121,1,1,2,4,1,4,2,1.25987664767,2,1.0296880443,1
7,1,2,122,1,1,1,4,1,4,1,1.14988741652,1,0.505850791827,1
7,1,2,123,1,1,2,4,1,4,1,1.19988252159,1,1.04161391536,1
7,1,2,124,1,1,1,4,1,4,2,1.13988839551,2,0.803193091828,1
7,1,2,125,1,1,2,8,1,8,1,1.37986489983,1,0.705467178875,1
7,1,2,126,1,1,1,6,1,6,2,1.30987175274,2,0.647193207745,1
7,1,2,127,1,1,1,2,1,2,2,1.38986392084,2,0.579821862075,1
7,1,2,128,1,1,2,6,1,6,2,1.2798746897,2,0.617570064907,1
7,1,2,129,1,1,1,5,0,2,1,1.33986881578,1,0.860878421741,1
7,1,2,130,1,1,2,4,1,4,2,1.00990112234,2,0.934201382915,1
7,1,2,131,1,1,1,2,1,2,2,1.1298893745,2,0.557091556953,1
7,1,2,132,1,1,2,1,1,1,2,1.06989524842,2,0.937508339083,1
7,1,2,133,1,1,1,7,1,7,1,1.21988056362,1,0.653578304677,1
7,1,2,134,1,1,1,2,1,2,2,1.22987958463,2,0.589342454556,1
7,1,2,135,1,1,2,8,1,8,1,1.29987273172,1,0.528135238961,1
7,1,2,136,1,1,2,2,1,2,1,1.1298893745,1,0.614118212439,1
7,1,2,137,1,1,1,3,1,3,1,1.23987860564,1,1.02677170441,1
7,1,2,138,1,1,1,6,0,3,1,1.11989035348,2,1.13577054946,0
7,1,2,139,1,1,1,6,1,6,1,1.02989916437,1,0.761693584173,1
7,1,2,140,1,1,2,5,1,5,1,1.31987077375,1,0.816051732809,1
7,1,2,141,1,1,1,3,1,3,1,1.01990014335,1,0.788662106055,1
7,1,2,142,1,1,2,7,0,8,1,1.19988252159,1,0.922879850177,1
7,1,2,143,1,1,2,5,1,5,1,1.13988839551,2,0.906599241588,0
7,1,2,144,1,1,2,1,1,1,1,1.24987762666,1,0.851317379043,1
7,1,2,145,1,1,1,4,0,7,2,1.26987566868,2,1.07915835777,1
7,1,2,146,1,1,1,2,1,2,1,1.26987566868,1,0.763851331567,1
7,1,2,147,1,1,1,1,1,1,1,1.06989524842,1,0.777622517367,1
7,1,2,148,1,1,2,8,1,8,1,1.34986783679,1,0.682328145443,1
7,1,2,149,1,1,2,6,0,7,2,1.16988545855,2,0.683501805468,1
7,1,2,150,1,1,1,7,0,5,1,1.13988839551,1,1.26100381741,1
7,1,2,151,1,1,1,2,1,2,2,1.06989524842,2,0.727934557586,1
7,1,2,152,1,1,1,4,1,4,1,1.21988056362,1,0.723599743293,1
7,1,2,153,1,1,1,8,1,8,2,1.14988741652,2,0.632484120271,1
7,1,2,154,1,1,2,3,1,3,1,1.23987860564,1,1.31835226343,1
7,1,2,155,1,1,2,7,1,7,2,1.04989720639,2,0.711116625221,1
7,1,2,156,1,1,2,6,1,6,2,1.24987762666,2,0.653344961262,1
7,1,2,157,1,1,1,5,0,4,2,1.3598668578,2,0.6856776649,1
7,1,2,158,1,1,2,5,1,5,2,1.16988545855,2,0.749589007684,1
7,1,2,159,1,1,1,1,0,4,1,1.33986881578,1,0.674309040865,1
7,1,2,160,1,1,1,2,1,2,1,1.09989231146,2,0.690040552852,0
7,1,3,161,1,1,2,2,1,2,1,1.14988741652,1,0.541727719326,1
7,1,3,162,1,1,1,1,0,2,1,1.13988839551,2,0.785007096901,0
7,1,3,163,1,1,1,8,0,7,1,1.10989133247,1,0.516369357572,1
