"","subject","session","task","cuecol","cueloc","validity","targloc","targtilt","delay","resp","time","corr"
"1632",1,NA,2,2,3,0,4,1,1.27950177126568,0,NA,0
"1633",1,NA,2,2,3,1,3,2,1.08957572709343,0,NA,0
"1634",1,NA,2,2,6,1,6,1,1.01960297397734,0,NA,0
"1635",1,NA,2,2,5,1,5,1,1.39945506232184,0,NA,0
"1636",1,NA,2,1,5,1,5,2,1.3694667395578,0,NA,0
"1637",1,NA,2,2,8,1,8,1,1.35947063196978,0,NA,0
"1638",1,NA,2,1,2,0,4,2,1.24951344850164,0,NA,0
"1639",1,NA,2,2,5,1,5,1,1.01960297397734,0,NA,0
"1640",1,NA,2,2,1,1,1,2,1.12956015744548,0,NA,0
"1641",1,NA,2,1,3,1,3,2,1.27950177126568,0,NA,0
"1642",1,NA,2,1,7,1,7,2,1.03959518915336,0,NA,0
"1643",1,NA,2,1,4,0,7,2,1.23951734091363,0,NA,0
"1644",1,NA,2,1,1,1,1,1,1.10956794226946,0,NA,0
"1645",1,NA,2,1,1,1,1,2,1.17954069538555,0,NA,0
"1646",1,NA,2,1,6,1,6,2,1.18953680297356,0,NA,0
"1647",1,NA,2,1,8,1,8,2,1.34947452438177,0,NA,0
"1648",1,NA,2,1,5,1,5,1,1.34947452438177,0,NA,0
"1649",1,NA,2,2,7,1,7,2,1.30949009402972,0,NA,0
"1650",1,NA,2,2,1,1,1,1,1.39945506232184,0,NA,0
"1651",1,NA,2,2,6,0,2,2,1.26950566367767,0,NA,0
"1652",1,NA,2,1,2,1,2,2,1.18953680297356,0,NA,0
"1653",1,NA,2,1,6,1,6,1,1.28949787885369,0,NA,0
"1654",1,NA,2,1,3,1,3,2,1.02959908156535,0,NA,0
"1655",1,NA,2,1,3,0,2,2,1.04959129674138,0,NA,0
"1656",1,NA,2,1,4,1,4,1,1.30949009402972,0,NA,0
"1657",1,NA,2,2,5,1,5,1,1.19953291056157,0,NA,0
"1658",1,NA,2,1,3,1,3,2,1.08957572709343,0,NA,0
"1659",1,NA,2,1,8,1,8,1,1.13955626503349,0,NA,0
"1660",1,NA,2,1,7,0,8,1,1.04959129674138,0,NA,0
"1661",1,NA,2,1,7,1,7,1,1.2195251257376,0,NA,0
"1662",1,NA,2,2,3,1,3,1,1.2195251257376,0,NA,0
"1663",1,NA,2,2,5,1,5,2,1.34947452438177,0,NA,0
"1664",1,NA,2,1,7,1,7,1,1.14955237262151,0,NA,0
"1665",1,NA,2,2,4,1,4,2,1.27950177126568,0,NA,0
"1666",1,NA,2,1,4,1,4,2,1.28949787885369,0,NA,0
"1667",1,NA,2,2,3,1,3,1,1.24951344850164,0,NA,0
"1668",1,NA,2,1,8,1,8,2,1.31948620161773,0,NA,0
"1669",1,NA,2,1,4,1,4,2,1.35947063196978,0,NA,0
"1670",1,NA,2,2,6,1,6,2,1.15954848020952,0,NA,0
"1671",1,NA,2,2,6,0,3,2,1.08957572709343,0,NA,0
"1672",1,NA,2,1,8,1,8,1,1.25950955608965,0,NA,0
"1673",1,NA,2,1,7,1,7,1,1.26950566367767,0,NA,0
"1674",1,NA,2,2,2,1,2,2,1.3694667395578,0,NA,0
"1675",1,NA,2,2,8,0,5,1,1.2195251257376,0,NA,0
"1676",1,NA,2,1,4,1,4,1,1.35947063196978,0,NA,0
"1677",1,NA,2,1,1,1,1,1,1.30949009402972,0,NA,0
"1678",1,NA,2,1,1,1,1,1,1.14955237262151,0,NA,0
"1679",1,NA,2,1,6,1,6,1,1.30949009402972,0,NA,0
"1680",1,NA,2,2,7,1,7,1,1.04959129674138,0,NA,0
"1681",1,NA,2,2,2,1,2,2,1.08957572709343,0,NA,0
"1682",1,NA,2,2,3,1,3,2,1.08957572709343,0,NA,0
"1683",1,NA,2,1,7,1,7,1,1.20952901814959,0,NA,0
"1684",1,NA,2,1,6,1,6,2,1.07957961950542,0,NA,0
"1685",1,NA,2,2,8,1,8,2,1.09957183468144,0,NA,0
"1686",1,NA,2,1,3,0,7,1,1.35947063196978,0,NA,0
"1687",1,NA,2,1,6,1,6,2,1.31948620161773,0,NA,0
"1688",1,NA,2,1,3,1,3,2,1.26950566367767,0,NA,0
"1689",1,NA,2,1,8,1,8,2,1.07957961950542,0,NA,0
"1690",1,NA,2,1,4,0,1,1,1.25950955608965,0,NA,0
"1691",1,NA,2,2,1,1,1,1,1.16954458779753,0,NA,0
"1692",1,NA,2,2,4,1,4,2,1.33947841679376,0,NA,0
"1693",1,NA,2,1,6,1,6,1,1.24951344850164,0,NA,0
"1694",1,NA,2,1,5,1,5,1,1.19953291056157,0,NA,0
"1695",1,NA,2,2,2,1,2,2,1.34947452438177,0,NA,0
"1696",1,NA,2,2,4,1,4,2,1.27950177126568,0,NA,0
"1697",1,NA,2,1,8,0,3,2,1.2195251257376,0,NA,0
"1698",1,NA,2,2,8,1,8,2,1.30949009402972,0,NA,0
"1699",1,NA,2,1,7,1,7,2,1.20952901814959,0,NA,0
"1700",1,NA,2,2,8,1,8,1,1.39945506232184,0,NA,0
"1701",1,NA,2,2,8,1,8,2,1.33947841679376,0,NA,0
"1702",1,NA,2,1,4,1,4,1,1.15954848020952,0,NA,0
"1703",1,NA,2,2,5,0,6,1,1.38945895473382,0,NA,0
"1704",1,NA,2,1,3,1,3,1,1.01960297397734,0,NA,0
"1705",1,NA,2,1,6,0,4,2,1.23951734091363,0,NA,0
