subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
11,1,1,2,2,4,1,4,2,1.27988068092693,0,NaN,0
11,1,2,2,1,5,1,5,2,1.14989279927029,0,NaN,0
11,1,3,2,1,5,1,5,2,1.18988907054925,0,NaN,0
11,1,4,2,2,6,1,6,1,1.1298946636308,0,NaN,0
11,1,5,2,1,1,1,1,2,1.1298946636308,0,NaN,0
11,1,6,2,2,2,1,2,2,1.2498834774677,0,NaN,0
11,1,7,2,1,5,1,5,2,1.19988813836899,0,NaN,0
11,1,8,2,2,6,1,6,1,1.20988720618874,0,NaN,0
11,1,9,2,2,8,1,8,1,1.23988440964796,0,NaN,0
11,1,10,2,1,1,1,1,1,1.26988161310719,0,NaN,0
11,1,11,2,1,7,1,7,2,1.2498834774677,0,NaN,0
11,1,12,2,1,2,0,1,2,1.05990118889261,0,NaN,0
11,1,13,2,2,2,1,2,1,1.06990025671235,0,NaN,0
11,1,14,2,2,2,1,2,1,1.03990305325313,0,NaN,0
11,1,15,2,1,8,1,8,1,1.29987881656641,0,NaN,0
11,1,16,2,1,1,1,1,1,1.21988627400848,0,NaN,0
11,1,17,2,2,4,1,4,2,1.20988720618874,0,NaN,0
11,1,18,2,1,3,1,3,2,1.11989559581106,0,NaN,0
11,1,19,2,2,4,1,4,1,1.27988068092693,0,NaN,0
11,1,20,2,1,3,1,3,1,1.11989559581106,0,NaN,0
11,1,21,2,2,7,1,7,1,1.13989373145054,0,NaN,0
11,1,22,2,1,7,0,3,1,1.37987135912434,0,NaN,0
11,1,23,2,2,4,1,4,2,1.10989652799132,0,NaN,0
11,1,24,2,1,8,1,8,2,1.0099058497939,0,NaN,0
11,1,25,2,1,6,1,6,1,1.01990491761365,0,NaN,0
11,1,26,2,1,2,1,2,2,1.08989839235184,0,NaN,0
11,1,27,2,2,5,1,5,1,1.08989839235184,0,NaN,0
11,1,28,2,1,4,0,6,2,1.05990118889261,0,NaN,0
11,1,29,2,1,5,1,5,1,1.08989839235184,0,NaN,0
11,1,30,2,2,7,1,7,2,1.30987788438615,0,NaN,0
11,1,31,2,2,8,1,8,1,1.08989839235184,0,NaN,0
11,1,32,2,1,1,0,5,2,1.34987415566512,0,NaN,0
11,1,33,2,1,8,0,6,1,1.2498834774677,0,NaN,0
11,1,34,2,1,7,1,7,2,1.23988440964796,0,NaN,0
11,1,35,2,2,6,0,7,1,1.08989839235184,0,NaN,0
11,1,36,2,1,2,1,2,1,1.16989093490977,0,NaN,0
11,1,37,2,2,6,1,6,2,1.03990305325313,0,NaN,0
11,1,38,2,1,5,0,6,2,1.1298946636308,0,NaN,0
11,1,39,2,2,5,1,5,1,1.33987508784538,0,NaN,0
11,1,40,2,1,6,1,6,2,1.15989186709003,0,NaN,0
11,1,41,2,2,1,1,1,2,1.26988161310719,0,NaN,0
11,1,42,2,2,1,0,5,1,1.10989652799132,0,NaN,0
11,1,43,2,1,2,1,2,2,1.02990398543339,0,NaN,0
11,1,44,2,2,1,1,1,1,1.2498834774677,0,NaN,0
11,1,45,2,2,4,1,4,2,1.38987042694408,0,NaN,0
11,1,46,2,2,3,0,2,1,1.10989652799132,0,NaN,0
11,1,47,2,1,2,1,2,1,1.05990118889261,0,NaN,0
11,1,48,2,2,1,1,1,2,1.34987415566512,0,NaN,0
11,1,49,2,1,1,1,1,1,1.28987974874667,0,NaN,0
11,1,50,2,1,4,1,4,2,1.15989186709003,0,NaN,0
11,1,51,2,1,2,0,7,2,1.35987322348486,0,NaN,0
11,1,52,2,1,6,1,6,2,1.05990118889261,0,NaN,0
11,1,53,2,2,6,0,2,1,1.30987788438615,0,NaN,0
11,1,54,2,1,7,1,7,1,1.11989559581106,0,NaN,0
11,1,55,2,2,4,0,8,1,1.07989932453209,0,NaN,0
11,1,56,2,1,6,1,6,1,1.3698722913046,0,NaN,0
11,1,57,2,2,1,1,1,1,1.31987695220589,0,NaN,0
11,1,58,2,1,3,0,1,1,1.20988720618874,0,NaN,0
11,1,59,2,2,3,1,3,2,1.10989652799132,0,NaN,0
11,1,60,2,2,8,1,8,1,1.01990491761365,0,NaN,0
11,1,61,2,2,3,1,3,1,1.14989279927029,0,NaN,0
11,1,62,2,1,4,1,4,1,1.21988627400848,0,NaN,0
11,1,63,2,1,7,1,7,2,1.15989186709003,0,NaN,0
11,1,64,2,2,6,1,6,2,1.09989746017158,0,NaN,0
11,1,65,2,2,3,1,3,2,1.25988254528744,0,NaN,0
11,1,66,2,1,7,0,8,2,1.19988813836899,0,NaN,0
11,1,67,2,1,5,1,5,2,1.33987508784538,0,NaN,0
11,1,68,2,2,7,1,7,2,1.25988254528744,0,NaN,0
11,1,69,2,1,3,1,3,2,1.29987881656641,0,NaN,0
11,1,70,2,1,3,1,3,1,1.2498834774677,0,NaN,0
11,1,71,2,1,8,1,8,1,1.31987695220589,0,NaN,0
11,1,72,2,2,8,1,8,1,1.10989652799132,0,NaN,0
11,1,73,2,2,8,1,8,2,1.16989093490977,0,NaN,0
11,1,74,2,2,2,1,2,2,1.05990118889261,0,NaN,0
11,1,75,2,1,5,0,2,1,1.33987508784538,0,NaN,0
11,1,76,2,2,3,1,3,1,1.23988440964796,0,NaN,0
11,1,77,2,2,5,1,5,2,1.23988440964796,0,NaN,0
11,1,78,2,2,8,0,6,1,1.22988534182822,0,NaN,0
11,1,79,2,2,7,1,7,2,1.27988068092693,0,NaN,0
11,1,80,2,2,4,1,4,2,1.10989652799132,0,NaN,0
11,1,81,1,2,3,1,3,2,1.08989839235184,2,0.770807240623981,1
11,1,82,1,2,4,0,5,1,1.03990305325313,1,0.981371115194634,1
11,1,83,1,1,4,1,4,1,1.07989932453209,2,1.11132050689775,0
11,1,84,1,1,2,1,2,1,1.39986949476383,1,0.346180840046145,1
11,1,85,1,2,4,0,8,2,1.22988534182822,2,0.570037175086327,1
11,1,86,1,1,8,1,8,2,1.05990118889261,2,0.404677748330869,1
11,1,87,1,1,8,1,8,1,1.05990118889261,2,0.413582857465371,0
11,1,88,1,1,4,1,4,2,1.30987788438615,2,0.407324225991033,1
11,1,89,1,1,5,1,5,1,1.01990491761365,1,0.439165576128289,1
11,1,90,1,2,7,1,7,2,1.05990118889261,1,0.634114115266129,0
11,1,91,1,1,8,1,8,2,1.08989839235184,0,NaN,0
11,1,92,1,2,6,1,6,1,1.04990212107287,1,0.350508723175153,1
11,1,93,1,1,1,1,1,2,1.39986949476383,2,0.398474660352804,1
11,1,94,1,1,8,1,8,2,1.08989839235184,2,0.87319697951898,1
11,1,95,1,1,3,1,3,2,1.34987415566512,1,0.536997106624767,0
11,1,96,1,1,6,1,6,2,1.19988813836899,1,0.361690521822311,0
11,1,97,1,2,8,0,5,1,1.02990398543339,2,1.52426491340157,0
11,1,98,1,2,5,1,5,2,1.2498834774677,2,0.373007255489938,1
11,1,99,1,2,3,0,7,2,1.06990025671235,1,0.211064069997519,0
11,1,100,1,2,7,1,7,1,1.28987974874667,1,0.323237958131358,1
11,1,101,1,1,7,1,7,1,1.34987415566512,1,0.430934538366273,1
11,1,102,1,1,2,1,2,2,1.29987881656641,2,0.497612676001154,1
11,1,103,1,2,5,0,1,2,1.34987415566512,2,0.321366677759215,1
11,1,104,1,1,3,1,3,2,1.0099058497939,1,0.281031664460897,0
11,1,105,1,2,6,1,6,1,1.3698722913046,1,0.356012986390851,1
11,1,106,1,1,5,1,5,2,1.05990118889261,2,0.980733569711447,1
11,1,107,1,2,6,1,6,2,1.14989279927029,1,0.357290492160246,0
11,1,108,1,1,5,1,5,1,1.30987788438615,2,0.193692163913511,0
11,1,109,1,2,6,1,6,1,1.05990118889261,1,0.291351327672601,1
11,1,110,1,1,5,0,8,1,1.26988161310719,1,0.324859895394184,1
11,1,111,1,2,7,1,7,1,1.2498834774677,1,0.746581419138238,1
11,1,112,1,1,6,0,1,1,1.2498834774677,2,0.579578622244298,0
11,1,113,1,2,3,1,3,1,0.999906781974162,1,0.972761232871562,1
