subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
14,2,1,2,1,4,1,4,1,1.37984742360699,0,NaN,0
14,2,2,2,2,1,1,1,1,1.30985516298924,0,NaN,0
14,2,3,2,1,4,1,4,1,1.03988501489222,0,NaN,0
14,2,4,2,1,7,1,7,1,1.25986069111942,0,NaN,0
14,2,5,2,1,8,1,8,2,1.22986400799753,0,NaN,0
14,2,6,2,2,2,1,2,2,0.999889437396366,0,NaN,0
14,2,7,2,2,2,1,2,2,1.04988390926618,0,NaN,0
14,2,8,2,2,2,0,7,1,1.35984963485906,0,NaN,0
14,2,9,2,1,4,1,4,1,1.29985626861528,0,NaN,0
14,2,10,2,2,3,1,3,1,1.36984852923302,0,NaN,0
14,2,11,2,1,2,1,2,2,1.37984742360699,0,NaN,0
14,2,12,2,1,3,1,3,2,1.25986069111942,0,NaN,0
14,2,13,2,1,6,1,6,2,1.24986179674546,0,NaN,0
14,2,14,2,1,2,0,7,2,1.21986511362357,0,NaN,0
14,2,15,2,1,3,1,3,2,1.15987174737979,0,NaN,0
14,2,16,2,2,8,1,8,1,1.15987174737979,0,NaN,0
14,2,17,2,1,4,0,6,2,1.01988722614429,0,NaN,0
14,2,18,2,1,1,0,5,1,1.34985074048509,0,NaN,0
14,2,19,2,2,5,0,6,2,1.28985737424131,0,NaN,0
14,2,20,2,2,3,1,3,1,1.11987616988393,0,NaN,0
14,2,21,2,1,7,1,7,2,1.29985626861528,0,NaN,0
14,2,22,2,2,3,0,6,2,1.34985074048509,0,NaN,0
14,2,23,2,1,2,1,2,1,1.18986843050168,0,NaN,0
14,2,24,2,2,4,1,4,1,0.999889437396366,0,NaN,0
14,2,25,2,2,5,1,5,2,1.11987616988393,0,NaN,0
14,2,26,2,1,4,1,4,2,1.34985074048509,0,NaN,0
14,2,27,2,1,1,1,1,2,1.12987506425789,0,NaN,0
14,2,28,2,1,2,1,2,1,1.38984631798095,0,NaN,0
14,2,29,2,2,6,0,5,2,1.03988501489222,0,NaN,0
14,2,30,2,1,2,1,2,1,1.22986400799753,0,NaN,0
14,2,31,2,2,1,1,1,1,1.07988059238808,0,NaN,0
14,2,32,2,2,8,1,8,1,1.33985184611113,0,NaN,0
14,2,33,2,1,6,1,6,2,1.08987948676204,0,NaN,0
14,2,34,2,1,8,0,5,2,1.17986953612771,0,NaN,0
14,2,35,2,1,7,1,7,2,1.25986069111942,0,NaN,0
14,2,36,2,2,5,1,5,1,1.15987174737979,0,NaN,0
14,2,37,2,1,4,0,8,1,1.35984963485906,0,NaN,0
14,2,38,2,1,6,1,6,2,1.14987285300582,0,NaN,0
14,2,39,2,1,1,0,4,1,1.39984521235491,0,NaN,0
14,2,40,2,2,6,1,6,1,1.35984963485906,0,NaN,0
14,2,41,2,1,2,1,2,1,1.00988833177033,0,NaN,0
14,2,42,2,2,4,1,4,1,1.18986843050168,0,NaN,0
14,2,43,2,1,1,1,1,2,1.17986953612771,0,NaN,0
14,2,44,2,2,7,1,7,1,1.10987727550997,0,NaN,0
14,2,45,2,2,6,1,6,1,1.21986511362357,0,NaN,0
14,2,46,2,2,6,1,6,1,1.11987616988393,0,NaN,0
14,2,47,2,2,1,1,1,1,1.15987174737979,0,NaN,0
14,2,48,2,1,3,1,3,2,1.11987616988393,0,NaN,0
14,2,49,2,1,8,1,8,2,1.18986843050168,0,NaN,0
14,2,50,2,2,8,0,1,1,1.33985184611113,0,NaN,0
14,2,51,2,1,6,1,6,1,1.14987285300582,0,NaN,0
14,2,52,2,1,6,1,6,2,1.26985958549339,0,NaN,0
14,2,53,2,2,8,1,8,2,1.37984742360699,0,NaN,0
14,2,54,2,1,5,1,5,2,1.05988280364015,0,NaN,0
14,2,55,2,1,3,0,7,2,1.099878381136,0,NaN,0
14,2,56,2,2,5,1,5,1,1.099878381136,0,NaN,0
14,2,57,2,2,7,0,3,1,1.27985847986735,0,NaN,0
14,2,58,2,1,4,1,4,1,1.10987727550997,0,NaN,0
14,2,59,2,2,5,1,5,2,1.05988280364015,0,NaN,0
14,2,60,2,2,5,1,5,2,1.25986069111942,0,NaN,0
14,2,61,2,2,1,1,1,2,1.11987616988393,0,NaN,0
14,2,62,2,1,5,1,5,1,1.14987285300582,0,NaN,0
14,2,63,2,2,3,1,3,1,1.34985074048509,0,NaN,0
14,2,64,2,2,5,0,3,2,1.01988722614429,0,NaN,0
14,2,65,2,2,1,1,1,2,1.21986511362357,0,NaN,0
14,2,66,2,2,7,0,1,2,1.07988059238808,0,NaN,0
14,2,67,2,2,8,1,8,2,1.05988280364015,0,NaN,0
14,2,68,2,2,2,1,2,1,1.35984963485906,0,NaN,0
14,2,69,2,2,6,0,4,2,1.10987727550997,0,NaN,0
14,2,70,2,2,1,1,1,1,1.03988501489222,0,NaN,0
14,2,71,2,1,7,1,7,1,1.13987395863186,0,NaN,0
14,2,72,2,2,3,1,3,2,1.04988390926618,0,NaN,0
14,2,73,2,1,7,1,7,2,1.15987174737979,0,NaN,0
14,2,74,2,1,3,1,3,1,1.12987506425789,0,NaN,0
14,2,75,2,1,5,1,5,2,1.39984521235491,0,NaN,0
14,2,76,2,2,8,1,8,2,1.00988833177033,0,NaN,0
14,2,77,2,1,8,1,8,1,1.00988833177033,0,NaN,0
14,2,78,2,2,7,1,7,1,1.32985295173717,0,NaN,0
14,2,79,2,2,7,1,7,2,1.13987395863186,0,NaN,0
14,2,80,2,1,4,1,4,1,1.18986843050168,0,NaN,0
14,2,81,1,2,5,1,5,2,1.07988059238808,1,0.524508520960808,0
