subject,session,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
7,1,2,1,2,0,5,1,1.34986783678918,0,NaN,0
7,1,2,2,1,1,1,1,1.01990014335183,0,NaN,0
7,1,2,2,8,1,8,1,1.15988643753737,0,NaN,0
7,1,2,2,4,1,4,1,1.01990014335183,0,NaN,0
7,1,2,1,6,0,4,2,1.15988643753737,0,NaN,0
7,1,2,2,2,1,2,2,1.21988056361689,0,NaN,0
7,1,2,1,2,0,6,1,1.26987566868316,0,NaN,0
7,1,2,2,7,1,7,2,1.22987958463014,0,NaN,0
7,1,2,1,4,1,4,2,1.28987371070966,0,NaN,0
7,1,2,1,8,1,8,1,1.16988545855062,0,NaN,0
7,1,2,2,5,1,5,2,1.36986587881569,0,NaN,0
7,1,2,1,3,1,3,1,1.33986881577593,0,NaN,0
7,1,2,2,4,1,4,1,1.34986783678918,0,NaN,0
7,1,2,2,3,1,3,2,1.31987077374942,0,NaN,0
7,1,2,2,7,1,7,2,1.21988056361689,0,NaN,0
7,1,2,2,2,1,2,1,1.39986294185545,0,NaN,0
7,1,2,1,7,1,7,2,1.39986294185545,0,NaN,0
7,1,2,1,1,1,1,2,1.38986392084219,0,NaN,0
7,1,2,2,4,0,6,2,1.06989524841809,0,NaN,0
7,1,2,1,5,1,5,2,1.31987077374942,0,NaN,0
7,1,2,2,5,1,5,1,1.35986685780243,0,NaN,0
7,1,2,1,7,0,8,1,1.32986979476267,0,NaN,0
7,1,2,2,2,1,2,1,1.38986392084219,0,NaN,0
7,1,2,2,4,0,2,2,1.04989720639159,0,NaN,0
7,1,2,2,7,0,3,1,1.13988839551086,0,NaN,0
7,1,2,2,4,1,4,1,1.14988741652412,0,NaN,0
7,1,2,1,1,0,5,2,1.32986979476267,0,NaN,0
7,1,2,1,1,1,1,2,1.38986392084219,0,NaN,0
7,1,2,1,6,1,6,2,1.30987175273617,0,NaN,0
7,1,2,1,8,1,8,1,1.04989720639159,0,NaN,0
7,1,2,1,3,1,3,1,1.1098913324711,0,NaN,0
7,1,2,1,3,1,3,2,1.00990112233857,0,NaN,0
7,1,2,1,6,1,6,1,1.27987468969641,0,NaN,0
7,1,2,2,4,1,4,2,1.30987175273617,0,NaN,0
7,1,2,2,2,1,2,2,1.11989035348436,0,NaN,0
7,1,2,1,6,1,6,2,1.05989622740484,0,NaN,0
7,1,2,1,1,0,2,2,1.30987175273617,0,NaN,0
7,1,2,2,8,1,8,1,1.20988154260364,0,NaN,0
7,1,2,2,8,1,8,2,1.01990014335183,0,NaN,0
7,1,2,1,3,1,3,1,1.17988447956388,0,NaN,0
7,1,2,2,5,1,5,2,1.18988350057713,0,NaN,0
7,1,2,1,5,0,4,2,1.33986881577593,0,NaN,0
7,1,2,1,3,1,3,1,1.15988643753737,0,NaN,0
7,1,2,1,5,0,8,1,1.29987273172292,0,NaN,0
7,1,2,2,6,1,6,1,1.26987566868316,0,NaN,0
7,1,2,1,1,1,1,2,1.33986881577593,0,NaN,0
7,1,2,2,1,1,1,2,1.27987468969641,0,NaN,0
7,1,2,1,6,0,1,2,1.24987762665665,0,NaN,0
7,1,2,2,1,1,1,2,1.32986979476267,0,NaN,0
7,1,2,2,5,1,5,1,1.00990112233857,0,NaN,0
7,1,2,1,6,1,6,1,1.21988056361689,0,NaN,0
7,1,2,2,2,1,2,1,1.04989720639159,0,NaN,0
7,1,2,2,7,1,7,1,1.02989916436508,0,NaN,0
7,1,2,1,5,1,5,1,1.2598766476699,0,NaN,0
7,1,2,2,2,1,2,2,1.06989524841809,0,NaN,0
7,1,2,2,4,1,4,2,1.06989524841809,0,NaN,0
7,1,2,2,1,1,1,1,1.15988643753737,0,NaN,0
7,1,2,1,3,0,5,1,1.28987371070966,0,NaN,0
7,1,2,2,3,1,3,2,1.24987762665665,0,NaN,0
7,1,2,1,8,0,3,1,1.18988350057713,0,NaN,0
7,1,2,1,7,1,7,2,1.18988350057713,0,NaN,0
