subject,session,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
5,1,2,1,1,1,1,1,1.38959368231494,0,NaN,0
5,1,2,1,7,1,7,1,1.06968722307697,0,NaN,0
5,1,2,1,3,1,3,1,1.05969014622578,0,NaN,0
5,1,2,2,4,1,4,1,1.17965506844002,0,NaN,0
5,1,2,1,8,1,8,1,1.38959368231494,0,NaN,0
5,1,2,1,3,1,3,2,1.07968429992816,0,NaN,0
5,1,2,1,3,1,3,1,1.07968429992816,0,NaN,0
5,1,2,1,1,0,8,1,1.29961999065426,0,NaN,0
5,1,2,2,2,1,2,1,1.02969891567222,0,NaN,0
5,1,2,1,2,1,2,1,1.02969891567222,0,NaN,0
5,1,2,2,3,1,3,1,1.00970476196985,0,NaN,0
5,1,2,1,2,1,2,1,1.16965799158884,0,NaN,0
5,1,2,2,7,1,7,2,1.02969891567222,0,NaN,0
5,1,2,2,5,1,5,2,1.29961999065426,0,NaN,0
5,1,2,1,7,1,7,2,1.29961999065426,0,NaN,0
5,1,2,1,2,1,2,2,1.22964045269596,0,NaN,0
5,1,2,2,4,0,1,2,1.35960245176138,0,NaN,0
5,1,2,1,3,0,6,2,1.09967845363053,0,NaN,0
5,1,2,2,1,0,4,1,1.1996492221424,0,NaN,0
5,1,2,1,4,1,4,2,1.30961706750545,0,NaN,0
5,1,2,1,4,1,4,2,1.14966383788646,0,NaN,0
5,1,2,2,6,1,6,2,1.27962583695189,0,NaN,0
5,1,2,2,1,1,1,1,1.12966968418409,0,NaN,0
5,1,2,2,4,1,4,2,1.1196726073329,0,NaN,0
5,1,2,2,3,1,3,2,1.22964045269596,0,NaN,0
5,1,2,1,3,1,3,2,1.27962583695189,0,NaN,0
5,1,2,1,5,0,2,1,1.06968722307697,0,NaN,0
5,1,2,2,7,1,7,2,1.25963168324952,0,NaN,0
5,1,2,1,8,1,8,1,1.29961999065426,0,NaN,0
5,1,2,2,3,1,3,1,1.36959952861257,0,NaN,0
5,1,2,1,5,1,5,1,1.3496053749102,0,NaN,0
5,1,2,2,1,1,1,1,1.17965506844002,0,NaN,0
5,1,2,2,5,1,5,2,1.30961706750545,0,NaN,0
5,1,2,1,5,1,5,2,1.27962583695189,0,NaN,0
5,1,2,1,8,1,8,1,1.03969599252341,0,NaN,0
5,1,2,2,3,0,8,1,1.39959075916613,0,NaN,0
5,1,2,1,5,1,5,1,1.21964337584477,0,NaN,0
5,1,2,1,2,1,2,2,1.36959952861257,0,NaN,0
5,1,2,2,8,1,8,1,1.02969891567222,0,NaN,0
5,1,2,1,6,0,3,1,1.1196726073329,0,NaN,0
5,1,2,1,4,0,3,2,1.18965214529121,0,NaN,0
5,1,2,2,6,1,6,1,1.07968429992816,0,NaN,0
5,1,2,1,4,1,4,1,1.36959952861257,0,NaN,0
5,1,2,1,6,1,6,1,1.12966968418409,0,NaN,0
5,1,2,1,7,1,7,2,1.32961122120782,0,NaN,0
5,1,2,1,7,1,7,2,1.16965799158884,0,NaN,0
5,1,2,2,6,1,6,2,1.2696287601007,0,NaN,0
5,1,2,2,5,0,1,2,1.16965799158884,0,NaN,0
5,1,2,1,7,0,6,1,1.1196726073329,0,NaN,0
5,1,2,1,1,1,1,2,1.06968722307697,0,NaN,0
5,1,2,1,2,1,2,2,1.03969599252341,0,NaN,0
5,1,2,2,6,1,6,1,1.09967845363053,0,NaN,0
5,1,2,2,2,0,8,1,1.38959368231494,0,NaN,0
5,1,2,1,1,1,1,2,1.20964629899358,0,NaN,0
5,1,2,1,6,1,6,2,1.16965799158884,0,NaN,0
5,1,2,1,7,1,7,2,1.31961414435664,0,NaN,0
5,1,2,2,8,0,6,1,1.13966676103528,0,NaN,0
5,1,2,1,7,1,7,2,1.14966383788646,0,NaN,0
5,1,2,1,2,1,2,2,1.00970476196985,0,NaN,0
5,1,2,2,8,1,8,2,1.10967553048172,0,NaN,0
5,1,2,2,5,1,5,2,1.12966968418409,0,NaN,0
5,1,2,1,8,0,6,2,1.15966091473765,0,NaN,0
5,1,2,2,1,1,1,1,1.23963752954714,0,NaN,0
5,1,2,2,5,1,5,1,1.36959952861257,0,NaN,0
5,1,2,2,7,0,8,2,1.1996492221424,0,NaN,0
5,1,2,1,4,1,4,1,1.27962583695189,0,NaN,0
5,1,2,1,3,1,3,2,1.17965506844002,0,NaN,0
5,1,2,1,2,1,2,1,1.07968429992816,0,NaN,0
5,1,2,1,1,1,1,2,1.30961706750545,0,NaN,0
5,1,2,2,8,1,8,1,1.25963168324952,0,NaN,0
5,1,2,1,1,1,1,2,1.31961414435664,0,NaN,0
5,1,2,1,8,1,8,1,1.38959368231494,0,NaN,0
5,1,2,1,6,1,6,1,1.09967845363053,0,NaN,0
5,1,2,2,4,1,4,2,1.01970183882104,0,NaN,0
5,1,2,1,6,0,4,1,1.22964045269596,0,NaN,0
5,1,2,2,8,1,8,1,1.36959952861257,0,NaN,0
5,1,2,1,6,1,6,2,1.15966091473765,0,NaN,0
5,1,2,2,4,1,4,1,1.15966091473765,0,NaN,0
5,1,2,2,5,1,5,2,1.22964045269596,0,NaN,0
5,1,2,1,2,0,3,2,1.20964629899358,0,NaN,0
5,1,1,2,2,1,2,2,1.01970183882104,2,0.616567436983132,1
5,1,1,1,2,1,2,1,1.13966676103528,1,0.566926936105119,1
5,1,1,2,2,1,2,2,1.27962583695189,2,0.595445384615232,1
5,1,1,2,7,1,7,2,1.01970183882104,2,0.776759013992887,1
5,1,1,1,8,1,8,1,1.0496930693746,2,0.638828756165822,0
5,1,1,2,1,1,1,1,1.2696287601007,1,0.408940906663702,1
5,1,1,2,4,1,4,1,1.13966676103528,1,0.513302992799254,1
5,1,1,2,3,1,3,2,1.23963752954714,2,0.399823350921906,1
5,1,1,1,5,1,5,2,1.01970183882104,2,0.508299171009639,1
5,1,1,1,4,0,6,2,1.38959368231494,2,0.680770938090063,1
5,1,1,2,4,1,4,1,1.29961999065426,1,0.351346350511449,1
5,1,1,1,1,1,1,1,1.18965214529121,2,0.607916307794767,0
5,1,1,2,5,1,5,2,1.05969014622578,2,0.832819152226875,1
