subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
11,2,1,2,1,3,0,7,1,1.02989150489377,0,NaN,0
11,2,2,2,2,5,0,8,1,1.17987570463558,0,NaN,0
11,2,3,2,2,8,1,8,1,1.37985463762466,0,NaN,0
11,2,4,2,2,5,1,5,1,1.39985253092356,0,NaN,0
11,2,5,2,1,1,1,1,1,1.28986411777957,0,NaN,0
11,2,6,2,2,5,1,5,1,1.3698556909752,0,NaN,0
11,2,7,2,1,7,1,7,2,1.14987886468721,0,NaN,0
11,2,8,2,1,7,1,7,2,1.13987991803776,0,NaN,0
11,2,9,2,1,6,1,6,1,1.18987465128503,0,NaN,0
11,2,10,2,1,4,0,8,1,1.07988623814104,0,NaN,0
11,2,11,2,2,7,1,7,2,1.00989361159486,0,NaN,0
11,2,12,2,1,8,1,8,2,1.01989255824431,0,NaN,0
11,2,13,2,2,8,0,4,2,1.03989045154322,0,NaN,0
11,2,14,2,2,6,1,6,1,1.12988097138831,0,NaN,0
11,2,15,2,1,3,0,5,1,1.24986833118175,0,NaN,0
11,2,16,2,2,7,1,7,2,1.17987570463558,0,NaN,0
11,2,17,2,1,1,1,1,2,1.26986622448066,0,NaN,0
11,2,18,2,2,2,1,2,1,1.2398693845323,0,NaN,0
11,2,19,2,2,5,1,5,2,1.27986517113012,0,NaN,0
11,2,20,2,2,5,1,5,2,1.21987149123339,0,NaN,0
11,2,21,2,2,3,1,3,1,1.20987254458394,0,NaN,0
11,2,22,2,1,7,1,7,2,1.25986727783121,0,NaN,0
11,2,23,2,1,2,0,8,2,1.15987781133667,0,NaN,0
11,2,24,2,2,1,1,1,2,1.13987991803776,0,NaN,0
11,2,25,2,1,2,1,2,1,1.08988518479049,0,NaN,0
11,2,26,2,2,1,1,1,2,1.1098830780894,0,NaN,0
11,2,27,2,2,2,1,2,1,1.29986306442902,0,NaN,0
11,2,28,2,1,3,1,3,2,1.25986727783121,0,NaN,0
11,2,29,2,1,3,1,3,1,1.17987570463558,0,NaN,0
11,2,30,2,2,7,0,1,1,1.14987886468721,0,NaN,0
11,2,31,2,1,4,1,4,1,1.00989361159486,0,NaN,0
11,2,32,2,1,8,1,8,1,1.27986517113012,0,NaN,0
11,2,33,2,1,3,1,3,1,1.30986201107848,0,NaN,0
11,2,34,2,1,3,1,3,1,1.06988729149158,0,NaN,0
11,2,35,2,2,2,1,2,1,1.1098830780894,0,NaN,0
11,2,36,2,2,5,0,6,1,1.28986411777957,0,NaN,0
11,2,37,2,2,4,0,6,2,1.17987570463558,0,NaN,0
11,2,38,2,1,6,1,6,1,1.3698556909752,0,NaN,0
11,2,39,2,1,3,1,3,1,1.38985358427411,0,NaN,0
11,2,40,2,1,5,1,5,2,1.17987570463558,0,NaN,0
11,2,41,2,2,4,1,4,2,1.28986411777957,0,NaN,0
11,2,42,2,1,4,1,4,2,1.35985674432575,0,NaN,0
11,2,43,2,2,1,1,1,2,1.18987465128503,0,NaN,0
11,2,44,2,1,8,1,8,1,1.30986201107848,0,NaN,0
11,2,45,2,1,4,1,4,2,1.31986095772793,0,NaN,0
11,2,46,2,1,1,1,1,2,1.13987991803776,0,NaN,0
11,2,47,2,1,2,1,2,1,1.03989045154322,0,NaN,0
11,2,48,2,2,6,0,8,1,1.16987675798612,0,NaN,0
11,2,49,2,2,2,1,2,2,1.01989255824431,0,NaN,0
11,2,50,2,2,2,1,2,2,1.13987991803776,0,NaN,0
11,2,51,2,1,6,1,6,2,1.20987254458394,0,NaN,0
11,2,52,2,2,1,0,8,2,1.27986517113012,0,NaN,0
11,2,53,2,1,1,0,7,1,1.2398693845323,0,NaN,0
11,2,54,2,2,4,1,4,1,1.03989045154322,0,NaN,0
11,2,55,2,1,6,1,6,2,1.1098830780894,0,NaN,0
11,2,56,2,2,6,0,3,2,1.15987781133667,0,NaN,0
11,2,57,2,1,1,1,1,2,1.07988623814104,0,NaN,0
11,2,58,2,2,4,1,4,2,1.21987149123339,0,NaN,0
11,2,59,2,1,8,1,8,1,1.1098830780894,0,NaN,0
11,2,60,2,1,2,1,2,2,1.09988413143994,0,NaN,0
11,2,61,2,1,3,1,3,2,1.03989045154322,0,NaN,0
11,2,62,2,2,6,1,6,1,1.25986727783121,0,NaN,0
11,2,63,2,2,4,1,4,2,1.12988097138831,0,NaN,0
11,2,64,2,1,6,1,6,1,1.13987991803776,0,NaN,0
11,2,65,2,2,3,1,3,2,1.1098830780894,0,NaN,0
11,2,66,2,1,2,0,5,1,1.00989361159486,0,NaN,0
11,2,67,2,1,6,1,6,2,1.28986411777957,0,NaN,0
11,2,68,2,2,5,1,5,2,1.29986306442902,0,NaN,0
11,2,69,2,2,1,1,1,2,1.18987465128503,0,NaN,0
11,2,70,2,2,7,0,6,1,1.05988834484213,0,NaN,0
11,2,71,2,2,7,1,7,1,1.14987886468721,0,NaN,0
11,2,72,2,1,4,1,4,2,1.18987465128503,0,NaN,0
11,2,73,2,1,7,1,7,1,1.25986727783121,0,NaN,0
11,2,74,2,2,8,1,8,1,1.02989150489377,0,NaN,0
11,2,75,2,1,7,1,7,2,1.33985885102684,0,NaN,0
11,2,76,2,2,5,1,5,2,1.08988518479049,0,NaN,0
11,2,77,2,1,8,1,8,1,1.02989150489377,0,NaN,0
11,2,78,2,2,5,1,5,1,1.26986622448066,0,NaN,0
11,2,79,2,1,8,0,7,2,1.09988413143994,0,NaN,0
11,2,80,2,2,8,1,8,1,1.15987781133667,0,NaN,0
11,2,81,2,1,4,0,2,2,1.17987570463558,0,NaN,0
11,2,82,2,2,2,1,2,2,1.31986095772793,0,NaN,0
11,2,83,2,2,5,1,5,1,1.35985674432575,0,NaN,0
11,2,84,2,2,6,1,6,2,1.08988518479049,0,NaN,0
11,2,85,2,2,4,1,4,1,1.29986306442902,0,NaN,0
11,2,86,2,2,2,1,2,1,1.3698556909752,0,NaN,0
11,2,87,2,2,3,1,3,1,1.06988729149158,0,NaN,0
11,2,88,2,1,2,1,2,2,1.32985990437739,0,NaN,0
11,2,89,2,1,3,0,8,1,1.11988202473885,0,NaN,0
11,2,90,2,2,3,0,5,1,1.00989361159486,0,NaN,0
11,2,91,2,2,1,0,2,2,1.2398693845323,0,NaN,0
11,2,92,2,2,8,1,8,1,1.26986622448066,0,NaN,0
11,2,93,2,2,6,1,6,2,1.35985674432575,0,NaN,0
11,2,94,2,1,5,1,5,2,1.26986622448066,0,NaN,0
11,2,95,2,1,4,1,4,2,1.12988097138831,0,NaN,0
11,2,96,2,2,6,0,4,2,1.22987043788285,0,NaN,0
11,2,97,2,1,1,1,1,1,1.29986306442902,0,NaN,0
11,2,98,2,1,6,1,6,2,1.13987991803776,0,NaN,0
11,2,99,2,1,6,1,6,2,1.25986727783121,0,NaN,0
11,2,100,2,1,3,1,3,1,1.34985779767629,0,NaN,0
11,2,101,2,2,7,0,3,2,1.05988834484213,0,NaN,0
11,2,102,2,2,8,1,8,2,1.14987886468721,0,NaN,0
11,2,103,2,2,1,1,1,2,1.26986622448066,0,NaN,0
11,2,104,2,2,5,1,5,2,1.29986306442902,0,NaN,0
