subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
3,1,1,1,2,7,1,7,1,1.06987790546846,1,0.442486811894923,1
3,1,2,1,2,6,0,4,1,1.15986763583496,1,0.450579365482554,1
3,1,3,1,2,1,1,1,2,1.20986193048302,2,0.314350487198681,1
3,1,4,1,2,4,1,4,2,1.22985964834224,1,0.561213218839839,0
3,1,5,1,1,7,1,7,2,1.12987105904613,2,0.62001916882582,1
3,1,6,1,2,3,1,3,1,1.14986877690535,1,0.575733206700534,1
3,1,7,1,1,6,1,6,1,1.13986991797574,1,0.500876180129126,1
3,1,8,1,1,2,1,2,1,1.32984823763836,2,0.555061392951757,0
3,1,9,1,1,8,1,8,2,1.33984709656797,2,0.975146973272786,1
3,1,10,1,2,1,1,1,2,1.15986763583496,2,0.780668191146106,1
3,1,11,1,1,1,1,1,1,1.13986991797574,1,0.559651942923665,1
3,1,12,1,2,7,1,7,1,1.17986535369419,1,0.610621929401532,1
3,1,13,1,1,7,1,7,1,1.37984253228642,1,0.61693797307089,1
3,1,14,1,2,2,1,2,1,1.06987790546846,2,0.655199800850824,0
3,1,15,1,2,4,1,4,1,1.36984367335681,1,0.467968333745375,1
3,1,16,1,1,4,1,4,2,1.00988475189079,2,0.441830544732511,1
3,1,17,1,1,3,1,3,2,1.31984937870875,1,0.58232606574893,0
3,1,18,1,2,2,0,4,1,1.11987220011652,1,0.841132921166718,1
3,1,19,1,1,2,1,2,2,1.2798539429903,2,0.650263004936278,1
3,1,20,1,1,7,1,7,1,1.32984823763836,1,0.646994347451255,1
3,1,21,1,1,4,0,8,2,1.34984595549759,2,0.526698815869167,1
3,1,22,1,2,6,1,6,2,1.22985964834224,2,0.803453402593732,1
3,1,23,1,1,6,1,6,1,1.38984139121603,1,1.61327778920531,1
3,1,24,1,1,7,1,7,1,1.03988132867962,2,0.652120718266815,0
3,1,25,1,2,8,1,8,2,1.14986877690535,2,0.43303765100427,1
3,1,26,1,2,5,1,5,2,1.3598448144272,2,0.641376530984417,1
3,1,27,1,2,1,1,1,2,1.13986991797574,2,0.529446142492816,1
3,1,28,1,1,5,0,8,1,1.22985964834224,1,0.847163093276322,1
3,1,29,1,2,2,1,2,1,1.20986193048302,2,1.08021281892434,0
3,1,30,1,2,8,0,3,1,1.1098733411869,2,0.787847585277632,0
3,1,31,1,1,6,1,6,2,1.20986193048302,2,0.536781603936106,1
3,1,32,1,2,3,1,3,1,1.2798539429903,1,0.43457055115141,1
3,1,33,1,1,5,1,5,2,1.00988475189079,2,0.69726399355568,1
3,1,34,1,1,6,1,6,2,1.07987676439807,2,0.839122763369232,1
3,1,35,1,2,4,1,4,2,1.22985964834224,2,0.523812025086954,1
3,1,36,1,2,3,1,3,2,1.14986877690535,1,1.04767114203423,0
3,1,37,1,1,1,1,1,1,1.33984709656797,1,0.878388009499758,1
3,1,38,1,1,3,1,3,1,0.999885892961174,2,0.708972356049344,0
3,1,39,1,2,6,1,6,2,1.05987904653884,2,0.695544235408306,1
3,1,40,1,2,3,0,7,1,1.00988475189079,1,0.8153392651584,1
3,1,41,1,1,8,1,8,2,1.19986307155341,2,0.5840923122596,1
3,1,42,1,2,4,0,1,2,1.02988246975001,2,0.456143147079274,1
3,1,43,1,2,2,1,2,2,1.06987790546846,1,0.710831578588113,0
3,1,44,1,2,6,1,6,2,1.34984595549759,1,0.449133404064924,0
3,1,45,1,2,1,0,3,1,1.20986193048302,1,0.845295418519527,1
3,1,46,1,1,5,1,5,1,1.30985051977914,1,0.815927913179621,1
3,1,47,1,2,4,1,4,2,1.17986535369419,2,0.410016074543819,1
3,1,48,1,2,8,1,8,1,1.23985850727186,1,0.904467235784978,1
3,1,49,1,1,4,1,4,1,1.21986078941263,1,0.572692763525993,1
3,1,50,1,2,2,1,2,2,1.37984253228642,2,0.540144747123122,1
3,1,51,1,1,3,1,3,2,1.24985736620147,2,0.445223573129624,1
3,1,52,1,1,2,0,5,1,1.34984595549759,1,0.468048329465091,1
3,1,53,1,2,7,1,7,2,1.23985850727186,2,0.447726082522422,1
3,1,54,1,1,3,1,3,1,1.00988475189079,2,0.586586067220196,0
3,1,55,1,2,7,1,7,1,1.32984823763836,1,0.63705494813621,1
3,1,56,1,2,5,1,5,2,1.26985508406069,2,0.723800252191722,1
3,1,57,1,1,1,1,1,2,1.25985622513108,2,0.655043129809201,1
3,1,58,1,2,5,1,5,1,1.00988475189079,1,0.433902510907501,1
3,1,59,1,1,3,1,3,2,1.17986535369419,2,0.432633143849671,1
3,1,60,1,1,8,1,8,2,1.37984253228642,2,0.529316639760509,1
3,1,61,1,1,1,0,6,2,1.1098733411869,2,0.872158301062882,1
3,1,62,1,2,3,0,8,2,1.0198836108204,2,0.812906789826229,1
3,1,63,1,1,1,1,1,1,1.13986991797574,1,0.485470201587304,1
3,1,64,1,1,8,1,8,2,1.00988475189079,2,0.861696363193914,1
3,1,65,1,2,5,1,5,1,1.14986877690535,1,0.481418491108343,1
3,1,66,1,2,1,1,1,1,1.14986877690535,1,0.946114846738055,1
3,1,67,1,1,4,1,4,2,1.16986649476457,2,0.675925347255543,1
3,1,68,1,2,8,0,5,1,1.34984595549759,1,0.659284113207832,1
3,1,69,1,2,8,1,8,1,1.3598448144272,1,0.586594821419567,1
3,1,70,1,1,5,1,5,2,1.16986649476457,2,0.625411185668781,1
3,1,71,1,2,6,1,6,1,1.33984709656797,1,0.654791671317071,1
3,1,72,1,2,2,1,2,2,1.29985166084953,2,0.593964998144656,1
3,1,73,1,2,7,0,8,1,1.09987448225729,1,0.656366833485663,1
3,1,74,1,1,5,0,8,1,1.04988018760923,2,0.906531428452581,0
3,1,75,1,1,8,1,8,2,1.00988475189079,1,0.846332042943686,0
3,1,76,1,1,5,1,5,2,1.0198836108204,1,0.747200072277337,0
3,1,77,1,2,6,0,2,1,1.02988246975001,1,0.636996384942904,1
3,1,78,1,1,2,1,2,1,1.1898642126238,1,0.660463220672682,1
3,1,79,1,1,4,1,4,1,1.1898642126238,1,0.533302844269201,1
3,1,80,1,2,7,0,4,2,1.17986535369419,2,0.738476306898519,1
3,1,81,2,1,8,1,8,2,1.28985280191991,0,NaN,0
3,1,82,2,2,6,1,6,1,1.14986877690535,0,NaN,0
3,1,83,2,1,3,0,7,2,1.32984823763836,0,NaN,0
3,1,84,2,1,8,1,8,2,1.19986307155341,0,NaN,0
3,1,85,2,2,8,1,8,1,1.02988246975001,0,NaN,0
3,1,86,2,2,1,1,1,1,1.34984595549759,0,NaN,0
3,1,87,2,2,6,1,6,2,1.22985964834224,0,NaN,0
3,1,88,2,1,2,1,2,2,1.38984139121603,0,NaN,0
3,1,89,2,2,2,1,2,2,1.37984253228642,0,NaN,0
3,1,90,2,2,2,1,2,1,1.1898642126238,0,NaN,0
3,1,91,2,1,8,0,6,2,1.38984139121603,0,NaN,0
3,1,92,2,2,7,1,7,1,1.31984937870875,0,NaN,0
3,1,93,2,2,7,0,8,2,1.34984595549759,0,NaN,0
3,1,94,2,2,8,1,8,2,1.07987676439807,0,NaN,0
3,1,95,2,1,2,1,2,1,1.2798539429903,0,NaN,0
3,1,96,2,2,8,1,8,2,1.33984709656797,0,NaN,0
3,1,97,2,2,5,0,3,1,1.24985736620147,0,NaN,0
3,1,98,2,1,2,1,2,1,1.12987105904613,0,NaN,0
3,1,99,2,1,4,1,4,2,1.14986877690535,0,NaN,0
3,1,100,2,1,6,1,6,1,1.1898642126238,0,NaN,0
3,1,101,2,2,1,1,1,2,1.16986649476457,0,NaN,0
3,1,102,2,2,2,1,2,2,1.20986193048302,0,NaN,0
3,1,103,2,2,8,1,8,2,1.02988246975001,0,NaN,0
3,1,104,2,2,4,1,4,1,1.26985508406069,0,NaN,0
3,1,105,2,2,4,1,4,1,1.32984823763836,0,NaN,0
3,1,106,2,1,8,1,8,1,1.12987105904613,0,NaN,0
3,1,107,2,1,1,1,1,1,1.13986991797574,0,NaN,0
3,1,108,2,2,7,1,7,1,1.08987562332768,0,NaN,0
3,1,109,2,1,5,1,5,2,1.11987220011652,0,NaN,0
3,1,110,2,2,7,0,8,1,1.33984709656797,0,NaN,0
3,1,111,2,1,3,1,3,2,1.07987676439807,0,NaN,0
3,1,112,2,1,6,1,6,1,1.28985280191991,0,NaN,0
3,1,113,2,2,1,1,1,2,1.03988132867962,0,NaN,0
3,1,114,2,2,3,1,3,2,1.02988246975001,0,NaN,0
3,1,115,2,2,3,1,3,1,1.2798539429903,0,NaN,0
3,1,116,2,2,3,0,5,1,1.13986991797574,0,NaN,0
3,1,117,2,1,2,0,8,2,1.33984709656797,0,NaN,0
3,1,118,2,2,3,1,3,2,1.24985736620147,0,NaN,0
3,1,119,2,1,4,1,4,1,1.37984253228642,0,NaN,0
3,1,120,2,2,1,1,1,1,1.0198836108204,0,NaN,0
3,1,121,2,2,2,0,3,1,1.30985051977914,0,NaN,0
3,1,122,2,1,3,1,3,1,1.33984709656797,0,NaN,0
3,1,123,2,1,7,1,7,1,1.16986649476457,0,NaN,0
3,1,124,2,2,4,1,4,2,1.25985622513108,0,NaN,0
3,1,125,2,1,6,0,5,2,1.21986078941263,0,NaN,0
3,1,126,2,1,5,1,5,2,1.0198836108204,0,NaN,0
3,1,127,2,2,6,1,6,2,1.3598448144272,0,NaN,0
3,1,128,2,1,2,1,2,1,1.02988246975001,0,NaN,0
3,1,129,2,2,7,1,7,1,1.17986535369419,0,NaN,0
3,1,130,2,1,4,1,4,1,1.23985850727186,0,NaN,0
3,1,131,2,1,8,1,8,1,1.20986193048302,0,NaN,0
3,1,132,2,2,1,0,4,2,1.33984709656797,0,NaN,0
3,1,133,2,1,3,1,3,1,1.07987676439807,0,NaN,0
3,1,134,2,1,2,1,2,1,1.1898642126238,0,NaN,0
3,1,135,2,2,4,0,6,2,1.21986078941263,0,NaN,0
3,1,136,2,2,3,1,3,2,1.25985622513108,0,NaN,0
3,1,137,2,2,1,0,5,1,1.36984367335681,0,NaN,0
3,1,138,2,1,1,1,1,2,1.36984367335681,0,NaN,0
3,1,139,2,2,1,1,1,2,1.20986193048302,0,NaN,0
3,1,140,2,1,5,1,5,2,1.15986763583496,0,NaN,0
3,1,141,2,1,5,1,5,1,1.28985280191991,0,NaN,0
3,1,142,2,1,5,0,6,2,1.23985850727186,0,NaN,0
3,1,143,2,1,5,1,5,1,1.1098733411869,0,NaN,0
3,1,144,2,2,6,1,6,2,1.13986991797574,0,NaN,0
3,1,145,2,1,7,1,7,2,1.23985850727186,0,NaN,0
3,1,146,2,2,4,0,6,1,1.31984937870875,0,NaN,0
3,1,147,2,2,6,1,6,2,1.3598448144272,0,NaN,0
3,1,148,2,2,7,1,7,1,1.22985964834224,0,NaN,0
3,1,149,2,1,7,1,7,1,1.33984709656797,0,NaN,0
3,1,150,2,2,3,1,3,2,1.23985850727186,0,NaN,0
3,1,151,2,2,4,1,4,2,1.23985850727186,0,NaN,0
3,1,152,2,2,1,1,1,1,1.31984937870875,0,NaN,0
3,1,153,2,2,5,1,5,2,1.12987105904613,0,NaN,0
3,1,154,2,1,5,1,5,1,1.21986078941263,0,NaN,0
3,1,155,2,1,7,1,7,2,1.17986535369419,0,NaN,0
3,1,156,2,1,6,1,6,1,1.00988475189079,0,NaN,0
3,1,157,2,2,8,0,4,2,1.13986991797574,0,NaN,0
3,1,158,2,2,5,1,5,2,1.3598448144272,0,NaN,0
3,1,159,2,1,6,0,7,1,1.13986991797574,0,NaN,0
3,1,160,2,2,4,1,4,1,1.28985280191991,0,NaN,0
3,1,161,2,1,2,0,4,1,1.05987904653884,0,NaN,0
3,1,162,2,1,2,1,2,1,1.06987790546846,0,NaN,0
3,1,163,2,2,2,1,2,1,1.03988132867962,0,NaN,0
3,1,164,2,1,6,1,6,2,1.17986535369419,0,NaN,0
3,1,165,2,2,1,1,1,1,1.15986763583496,0,NaN,0
3,1,166,2,1,4,1,4,2,1.02988246975001,0,NaN,0
3,1,167,2,1,8,1,8,2,1.38984139121603,0,NaN,0
3,1,168,2,2,2,1,2,2,1.04988018760923,0,NaN,0
3,1,169,2,2,4,1,4,2,1.21986078941263,0,NaN,0
3,1,170,2,1,3,1,3,2,1.22985964834224,0,NaN,0
3,1,171,2,2,1,1,1,2,1.00988475189079,0,NaN,0
3,1,172,2,2,3,0,6,2,1.19986307155341,0,NaN,0
3,1,173,2,2,5,1,5,2,1.29985166084953,0,NaN,0
3,1,174,2,1,1,0,5,1,1.04988018760923,0,NaN,0
3,1,175,2,1,5,1,5,1,1.13986991797574,0,NaN,0
3,1,176,2,1,4,0,1,1,1.15986763583496,0,NaN,0
