subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
10,1,1,1,2,6,1,6,2,1.38985098016568,2,1.35141372377984,1
10,1,2,1,2,7,1,7,2,1.09988207063471,1,1.39959006302524,0
10,1,3,1,1,3,1,3,2,1.38985098016568,1,1.35220884450246,0
10,1,4,1,1,1,0,8,2,1.38985098016568,1,1.98800979868975,0
10,1,5,1,2,2,1,2,1,1.21986920561304,2,1.69327302009333,0
10,1,6,1,2,2,1,2,1,1.1798734939536,2,1.88946797256358,0
10,1,7,1,1,4,0,7,2,1.36985312433595,1,1.57422378391493,0
10,1,8,1,1,5,1,5,1,1.15987563812387,1,1.2365495871054,1
10,1,9,1,2,5,1,5,2,1.02988957523068,2,1.23070572235156,1
10,1,10,1,1,3,1,3,1,1.38985098016568,1,1.61763030511793,1
10,1,11,1,1,8,1,8,1,1.2298681335279,2,1.22717537474819,0
10,1,12,1,2,4,1,4,1,1.34985526850623,1,1.39452954614535,1
10,1,13,1,1,1,1,1,1,1.13987778229415,2,1.65582748840097,0
10,1,14,1,1,4,1,4,2,1.2298681335279,2,1.82319162134081,1
10,1,15,1,1,2,1,2,1,1.39984990808054,2,1.75923150416929,0
10,1,16,1,2,8,1,8,1,1.0498874310604,2,1.96263657638337,0
10,1,17,1,1,6,0,8,1,1.27986277310221,1,1.16224595915992,1
10,1,18,1,2,6,1,6,2,1.20987027769818,2,1.74080396536738,1
10,1,19,1,2,7,1,7,2,1.38985098016568,0,NaN,0
10,1,20,1,2,1,1,1,2,1.23986706144276,2,1.66536410572007,1
10,1,21,1,2,4,1,4,2,1.28986170101707,1,1.51651535532437,0
10,1,22,1,1,2,0,4,2,1.28986170101707,2,1.61843991535716,1
10,1,23,1,1,1,1,1,2,0.999892791486098,2,1.86823426780757,1
10,1,24,1,1,2,1,2,1,1.36985312433595,0,NaN,0
10,1,25,1,2,8,0,6,2,1.34985526850623,2,1.15582492249086,1
10,1,26,1,2,2,1,2,2,1.37985205225082,2,1.5061528267106,1
10,1,27,1,2,4,1,4,2,1.35985419642109,0,NaN,0
10,1,28,1,2,8,1,8,2,1.32985741267651,2,1.00687263126019,1
10,1,29,1,2,2,0,8,1,1.27986277310221,2,1.40254867239855,0
10,1,30,1,1,7,1,7,1,1.35985419642109,1,1.54732159967534,1
10,1,31,1,2,3,1,3,1,1.13987778229415,1,1.2501143325353,1
10,1,32,1,1,8,1,8,2,1.28986170101707,2,1.23190112016164,1
10,1,33,1,1,7,1,7,2,1.2298681335279,1,1.2971604776103,0
10,1,34,1,2,6,1,6,2,1.00989171940096,1,1.41247983148787,0
10,1,35,1,1,7,0,6,1,1.36985312433595,1,1.35122384876013,1
10,1,36,1,1,1,1,1,1,1.12987885437929,2,1.29896383779123,0
10,1,37,1,2,6,1,6,2,1.07988421480499,1,1.93786558113061,0
10,1,38,1,1,4,1,4,2,1.14987671020901,2,1.44664254738018,1
10,1,39,1,2,3,1,3,2,1.01989064731582,2,0.990243018954061,1
10,1,40,1,2,8,1,8,1,1.32985741267651,2,1.74795069289394,0
10,1,41,1,2,7,0,6,1,1.2298681335279,1,1.25739116524346,1
10,1,42,1,1,4,1,4,1,1.36985312433595,1,1.43430066970177,1
10,1,43,1,1,3,1,3,2,1.32985741267651,1,1.59702690097038,0
10,1,44,1,2,1,1,1,1,1.10988099854957,2,1.35319897183217,0
10,1,45,1,2,4,1,4,2,1.01989064731582,1,1.96165278821718,0
10,1,46,1,1,6,1,6,2,1.20987027769818,2,0.931309307576157,1
10,1,47,1,2,5,1,5,2,1.27986277310221,2,1.08262190560345,1
10,1,48,1,1,8,1,8,1,0.999892791486098,2,1.30434342939407,0
10,1,49,1,1,7,1,7,1,1.31985848476165,1,1.55671362217981,1
10,1,50,1,1,5,1,5,1,1.07988421480499,1,1.18729588051792,1
10,1,51,1,2,8,1,8,1,1.16987456603873,1,1.00907506106887,1
10,1,52,1,2,3,0,1,1,1.10988099854957,2,1.04033531516325,0
10,1,53,1,2,1,1,1,2,1.08988314271985,2,1.32070347340778,1
10,1,54,1,2,7,1,7,1,1.16987456603873,1,0.818364448379725,1
10,1,55,1,1,4,1,4,1,1.21986920561304,1,1.28117957978975,1
10,1,56,1,1,4,0,6,1,1.11987992646443,1,1.18912339000963,1
10,1,57,1,1,1,0,5,1,1.19987134978332,1,1.47179148159921,1
10,1,58,1,2,6,1,6,2,1.11987992646443,2,0.903510877047665,1
10,1,59,1,1,3,1,3,2,1.14987671020901,2,1.48897381452844,1
10,1,60,1,1,3,0,2,1,1.38985098016568,2,0.941753340535797,0
10,1,61,1,2,3,1,3,1,1.35985419642109,1,1.40080236538779,1
10,1,62,1,2,2,1,2,1,1.18987242186846,2,0.899692547274753,0
10,1,63,1,2,5,0,4,2,1.02988957523068,1,0.957518100738525,0
10,1,64,1,2,5,1,5,1,1.11987992646443,1,1.44426593976095,1
10,1,65,1,1,5,1,5,1,1.35985419642109,1,1.61506080371328,1
10,1,66,1,1,2,1,2,1,1.16987456603873,1,1.39870589144994,1
10,1,67,1,1,6,1,6,1,1.18987242186846,1,1.0259307725355,1
10,1,68,1,1,2,1,2,2,1.0498874310604,2,1.02624622476287,1
10,1,69,1,1,7,1,7,2,1.09988207063471,2,0.898000274668448,1
10,1,70,1,1,6,1,6,2,1.28986170101707,2,0.980869712191634,1
10,1,71,1,1,6,0,3,2,1.30985955684679,2,1.33245006715879,1
10,1,72,1,2,1,1,1,2,1.28986170101707,2,0.755250769318081,1
10,1,73,1,1,5,0,2,1,1.2298681335279,1,1.28339348058216,1
10,1,74,1,2,8,1,8,1,1.01989064731582,2,1.10575134225655,0
10,1,75,1,1,5,1,5,2,1.15987563812387,2,0.751754231052473,1
10,1,76,1,1,5,1,5,2,1.07988421480499,2,0.672399443923496,1
10,1,77,1,2,7,1,7,1,1.00989171940096,1,1.0887453003088,1
10,1,78,1,2,1,1,1,2,1.11987992646443,1,1.29929740203079,0
10,1,79,1,2,8,0,4,1,1.05988635897526,1,1.16572468727827,1
10,1,80,1,1,3,1,3,2,1.20987027769818,2,1.03362176835071,1
10,1,81,1,1,2,1,2,1,1.12987885437929,1,1.2699594439473,1
10,1,82,1,1,3,1,3,2,1.32985741267651,1,1.23511722288094,0
10,1,83,1,1,4,0,8,1,1.12987885437929,1,1.27029844198842,1
10,1,84,1,1,2,1,2,2,1.2298681335279,2,0.834745321422815,1
10,1,85,1,2,8,1,8,2,1.05988635897526,2,1.2723396740621,1
